buyer_id,sector_id,buyer_name,sector_name,is_externally_funded,price_dev_median,price_dev_p25,price_dev_p75,price_dev_n,single_bidder_rate,single_bidder_n,total_with_bids,no_bid_data_count,non_open_share,non_open_count,total_tenders,bunching_25L,bunching_1Cr,bunching_10Cr,bunching_composite,bunching_n,stickiness_top3,total_award_value,n_suppliers,top3_value,pctile_price_dev,pctile_single_bidder,pctile_non_open,pctile_bunching,pctile_stickiness,composite_equal,composite_pricedev2x,composite_singlebid2x
49,10,Directorate of Sports and Youth Welfare - Assam,other,False,-0.01934982456140351,-0.24934402992776056,-0.012888171201723232,3.0,0.3333333333333333,8.0,24.0,6.0,,0.0,30.0,0.0,0.18181818181818182,0.0,0.06060606060606061,11.0,0.9578644151218692,637932144.0,6.0,611052500.0,70.0,94.73684210526315,,100.0,94.73684210526315,89.86842105263156,,
37,3,Department of Housing and Urban Affairs,buildings,False,-0.0002265903327680891,-0.0006444444444444444,-0.00010520115705500973,7.0,0.16666666666666666,3.0,18.0,13.0,,0.0,31.0,0.0,0.06451612903225806,0.0,0.02150537634408602,31.0,0.9218004103241528,613044585.0,6.0,565104750.0,80.0,95.83333333333334,,86.8421052631579,93.33333333333333,89.00219298245614,,
99,6,Urban Development Department,water_sanitation,False,-0.062302705706870444,-0.10719150181251635,-0.06165135250988706,3.0,0.25,6.0,24.0,22.0,,1.0,46.0,0.05,0.0,0.0,0.016666666666666666,40.0,,404593515.08,3.0,404593515.08,76.92307692307693,100.0,,81.48148148148148,,86.13485280151947,,
25,4,Bodoland Territorial Council,schools,False,-9.690855338883073e-05,-0.00014611832260256482,-2.7351999999955295e-05,8.0,0.043478260869565216,1.0,23.0,5.0,,0.0,28.0,0.037037037037037035,0.037037037037037035,0.0,0.024691358024691357,27.0,0.6314290584546712,79166305.78,8.0,49987905.92,90.9090909090909,76.47058823529412,,90.9090909090909,77.77777777777779,84.01663695781342,,
69,9,Inland Water Transport,vehicles,False,,,,,0.30434782608695654,7.0,23.0,49.0,,0.0,72.0,0.0,0.0,0.0,0.0,65.0,0.42065470212506456,35805077.0,22.0,15061574.0,,100.0,,47.22222222222222,100.0,82.4074074074074,,
84,3,Public Works Roads Department,buildings,False,-0.05999999839829982,-0.07750000000000001,-0.037696508911468835,4.0,0.1111111111111111,2.0,18.0,6.0,,0.0,24.0,0.0,0.045454545454545456,0.0,0.015151515151515152,22.0,0.9382022844143734,186212643.8,5.0,174705127.8,55.00000000000001,83.33333333333334,,84.21052631578947,100.0,80.6359649122807,,
1,5,ASSAM CANCER CARE FOUNDATION,health,False,,-0.21623194,1.26125602,2.0,0.11764705882352941,2.0,17.0,5.0,,0.0,22.0,0.0,0.0,0.0,0.0,11.0,0.960773948761067,94308279.4,6.0,90608938.0,,100.0,,38.88888888888889,100.0,79.62962962962963,,
83,5,Public Works Building and NH Department,health,False,0.015999126391269693,-0.01806909339512322,0.0768041662179658,43.0,0.009433962264150943,1.0,106.0,18.0,,0.0,124.0,0.0,0.017241379310344827,0.0,0.005747126436781609,116.0,0.9290198451764734,9598879890.78,34.0,8917549910.0,100.0,57.14285714285714,,88.88888888888889,71.42857142857143,79.36507936507937,,
84,2,Public Works Roads Department,bridges,False,-0.0500641774611398,-0.1,-0.00055563,13.0,0.041666666666666664,2.0,48.0,11.0,,0.0,59.0,0.0,0.0,0.023809523809523808,0.007936507936507936,42.0,0.7367689940500252,577535557.87,14.0,425510292.0,50.0,66.66666666666666,,90.9090909090909,100.0,76.89393939393939,,
102,3,Welfare of Plain Tribes and Backward Classes,buildings,False,-2.2777721915237254e-05,-0.001784666000000015,0.0,42.0,0.008771929824561403,1.0,114.0,13.0,0.25984251968503935,33.0,127.0,0.0,0.0449438202247191,0.0,0.0149812734082397,89.0,0.6286316930195229,948817042.8299999,30.0,596456464.0,95.0,54.166666666666664,100.0,81.57894736842105,53.333333333333336,76.8157894736842,79.84649122807016,73.0409356725146
